Facet number,Profile_type,O_x,O_y,O_z,U_x,U_y,U_z,V_x,V_y,V_z,U_length,V_length,Center_x,Center_y,Center_z,V_max,MC Hits,Hit equiv.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
 moment 0 (Constant Flow){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 1 (0 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 2 (10 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 3 (20 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 4 (30 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 5 (40 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 6 (50 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 7 (60 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 8 (70 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 9 (80 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 10 (90 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 11 (100 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 12 (110 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 13 (120 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 14 (130 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 15 (140 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 16 (150 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 17 (160 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 18 (170 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 19 (180 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 20 (190 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 21 (200 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 22 (210 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 23 (220 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 24 (230 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 25 (240 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 26 (250 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
