% Model:              GRACE_STP.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jul 19 2021, 15:35
% Dimension:          3
% Nodes:              286
% Expressions:        2
% Description:        Magnetic Field, Magnetic Field Gradient
% Length unit:        m
% x                       y                        z                        log10(mf.Bx)                                      log10(d(laginterp(2,mf.Bx),x))
-0.12000000000000004      0                        0                        -7.765015511450895+1.3643763538418412i            -6.210768765151271
-0.10000000000000003      0                        0                        -6.841757634012953+1.3643763538418412i            -4.8763549437542135+1.3643763538418412i
-0.2                      0                        0                        -20.399033917946237+1.3643763538418412i           -8.997326546408456
-0.18000000000000002      0                        0                        -10.489876356119217+1.3643763538418412i           -8.3723236095939+1.3643763538418412i
0.10000000000000003       0                        0                        -2.510860652136383+1.3643763538418412i            -0.2849636466526906
0.11999999999999994       0                        0                        -3.8716580395597138+1.3643763538418412i           -0.6500158254636553+1.3643763538418412i
0.18                      0                        0                        -7.95911582179521+1.3643763538418412i             -5.76594999055766
0.2                       0                        0                        -18.282491125597836+1.3643763538418412i           -6.210812941456214+1.3643763538418412i
-0.14000000000000004      0                        0                        -8.545654797488059+1.3643763538418412i            -6.657820494485801+1.3643763538418412i
-0.16000000000000003      0                        0                        -9.372299807707876+1.3643763538418412i            -7.6504739789393845+1.3643763538418412i
0.13999999999999996       0                        0                        -5.141942211070018+1.3643763538418412i            -2.916117580920329
0.15999999999999998       0                        0                        -6.456180681437353+1.3643763538418412i            -3.278323811250734+1.3643763538418412i
0.08999999999999997       0                        0                        -3.159086987531349+1.3643763538418412i            -1.6055908244708825
0.015022325137334203      0                        0                        -8.813974936493969                                -6.680943638459619
0.015611585879055312      0                        0                        -8.780532745070873                                -6.68094363845923
0.01598516744270237       0                        0                        -8.761328338599037                                -6.6346409291898825
0.01599999999999996       0                        0                        -8.760466835324458                                -6.5373503863693285
0.014999999999999986      0                        0                        -8.818090103785469                                -6.6633912977745045
-0.015288510726052723     0                        0                        -8.929622510728949+1.3643763538418412i            -7.709545796748052
-0.015210838725194742     0                        0                        -8.930487838811468+1.3643763538418412i            -8.19124519858151
-0.015000000000000041     0                        0                        -8.930990445903603+1.3643763538418412i            -8.191245198582248
-0.015519057912808082     0                        0                        -8.927963721549164+1.3643763538418412i            -7.709545796748256
-0.016000000000000042     0                        0                        -8.922248119424923+1.3643763538418412i            -7.689438193135965
0.025999999999999968      0                        0                        -8.248297933199538                                -6.3100454633717575
0.026023826111788884      0                        0                        -8.247768927994155                                -6.237249968688353
0.02815015269699997       0                        0                        -8.158869243233614                                -6.213120389756442
0.028480725188743505      0                        0                        -8.146721316686808                                -6.221420599418709
0.027870741978443248      0                        0                        -8.169713178411557                                -6.213120389756529
0.02771941956637919       0                        0                        -8.178205774336954                                -6.2372499686883325
0.029201018675602264      0                        0                        -8.12115039831859                                 -6.221420599418714
0.029500681496745923      0                        0                        -8.111184641365682                                -6.185261379779119
0.029757470971603         0                        0                        -8.100477289862752                                -6.182460716346996
0.03141787984629313       0                        0                        -8.044534475844394                                -6.182460716346093
0.029529649596543         0                        0                        -8.108747641346488                                -6.182460716347118
0.03223999042060832       0                        0                        -8.021145752116785                                -6.302446600525103
0.03250232561852928       0                        0                        -8.015225008000586                                -6.30244660052514
0.0333750988316345        0                        0                        -7.995067743145931                                -6.3779712483406446
0.034751044683203475      0                        0                        -7.97100229989042                                 -6.377971248339985
0.03496143019279355       0                        0                        -7.968790830683989                                -6.499441275630327
0.03531131513256319       0                        0                        -7.965814437798747                                -6.672274016652646
0.0358599707825753        0                        0                        -7.961155434647114                                -6.6722740166513015
0.036082718766613786      0                        0                        -7.962509587281332                                -6.945659804675374
0.03616345062144716       0                        0                        -7.9621452556772025                               -6.94565980467269
0.03629481631319598       0                        0                        -7.961658223390935                                -7.517242840307788
0.03637500115195644       0                        0                        -7.964830457329156                                -7.363782292876765
0.036548431821303684      0                        0                        -7.957918317131227                                -7.097455423565185
0.03736500000000004       0                        0                        -7.955354087520939                                -7.097455423581883
0.03617116417102881       0                        0                        -7.961807666556606                                -7.517242840312073
-0.0268517407153325       0                        0                        -8.984645014563794+1.3643763538418412i            -7.3143530274975825+1.3643763538418412i
-0.02615225971824689      0                        0                        -8.970654357509481+1.3643763538418412i            -7.314353027497565+1.3643763538418412i
-0.02741592545794788      0                        0                        -8.996267416131172+1.3643763538418412i            -7.314353027497595+1.3643763538418412i
-0.025999999999999995     0                        0                        -8.971205280637994+1.3643763538418412i            -7.390164756636889+1.3643763538418412i
-0.027831579165485287     0                        0                        -9.0047971094562+1.3643763538418412i              -7.537350915703895+1.3643763538418412i
-0.027971798020557548     0                        0                        -9.006587434045274+1.3643763538418412i            -7.537350915703929+1.3643763538418412i
-0.028206534848102705     0                        0                        -9.001608341403921+1.3643763538418412i            -7.90795005817278+1.3643763538418412i
0.03806200663930212       0                        0                        -5.6889989813136745+1.3643763538418412i           -5.080024860957495
0.03828459008577223       0                        0                        -5.689392031317247+1.3643763538418412i            -5.0800248609570255
0.03830432033673875       0                        0                        -5.689475736642463+1.3643763538418412i            -4.867638173249172
0.03836499999999993       0                        0                        -5.689650621608274+1.3643763538418412i            -2.3408916126492656+1.3643763538418412i
0.03799999999999998       0                        0                        -5.688900381749752+1.3643763538418412i            -4.796625547789458+1.3643763538418412i
-0.02831525356305345      0                        0                        -9.003640119236483+1.3643763538418412i            -7.5461423115147515+1.3643763538418412i
-0.031512389914574335     0                        0                        -9.05118874211222+1.3643763538418412i             -7.4366976876765+1.3643763538418412i
-0.03130866729144188      0                        0                        -9.045374993617378+1.3643763538418412i            -7.522368833592395+1.3643763538418412i
-0.028713527389674087     0                        0                        -9.009333253120236+1.3643763538418412i            -7.5223688335904715+1.3643763538418412i
-0.031612012958628255     0                        0                        -9.05226398222818+1.3643763538418412i             -7.58449945753754+1.3643763538418412i
0.03899999999999998       0                        0                        -5.305854915491236+1.3643763538418412i            -5.28907741307901+1.3643763538418412i
0.03958727081334623       0                        0                        -5.305589902162118+1.3643763538418412i            -5.289077413079257+1.3643763538418412i
-0.03416522033917002      0                        0                        -9.08720609375929+1.3643763538418412i             -7.581161731123824+1.3643763538418412i
-0.03416353693992244      0                        0                        -9.08718265125072+1.3643763538418412i             -7.5811617311238235+1.3643763538418412i
-0.03285065108165816      0                        0                        -9.071246768112493+1.3643763538418412i            -7.661345986568144+1.3643763538418412i
-0.034170823829245356     0                        0                        -9.084101001595624+1.3643763538418412i            -8.709195212643252
-0.03477361781393162      0                        0                        -9.0763666094893+1.3643763538418412i              -8.042377714977405+1.3643763538418412i
0.039831603139332816      0                        0                        -5.305573648449011+1.3643763538418412i            -4.658596320507291+1.3643763538418412i
0.04059834641467233       0                        0                        -5.3040990488666715+1.3643763538418412i           -4.6585963205071295+1.3643763538418412i
0.040615127450622485      0                        0                        -5.304066831525313+1.3643763538418412i            -4.658596320507116+1.3643763538418412i
0.04118166694992911       0                        0                        -5.302469218543738+1.3643763538418412i            -4.39005618429971+1.3643763538418412i
0.041425192849052994      0                        0                        -5.3016056225251225+1.3643763538418412i           -4.390056184299708+1.3643763538418412i
0.041464719870311834      0                        0                        -5.301615768292732+1.3643763538418412i            -4.325895334683697+1.3643763538418412i
-0.03635210495677524      0                        0                        -9.09966318088963+1.3643763538418412i             -7.8635325594259635
-0.03569795383716892      0                        0                        -9.086813932722434+1.3643763538418412i            -8.030210525265904
-0.03557417109456762      0                        0                        -9.08067865807049+1.3643763538418412i             -8.42732466391803+1.3643763538418412i
-0.0349305820339843       0                        0                        -9.079422284994129+1.3643763538418412i            -8.427324663919757+1.3643763538418412i
-0.03487479706424146      0                        0                        -9.079065615859545+1.3643763538418412i            -7.794896724958381+1.3643763538418412i
0.0418164219939193        0                        0                        -5.300153036916864+1.3643763538418412i            -4.183965360071296+1.3643763538418412i
0.04457377163503193       0                        0                        -5.282485965644575+1.3643763538418412i            -4.052792480410567+1.3643763538418412i
0.044598909522074015      0                        0                        -5.282487873391477+1.3643763538418412i            -4.00346785364588+1.3643763538418412i
