% Model:              GRACE_shield_open_thickness_5.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 15 2021, 12:22
% Dimension:          3
% Nodes:              182
% Expressions:        2
% Description:        Magnetic Field, Magnetic Field Gradient
% Length unit:        m
% x                       y                        z                        log10(mf.Bx)                                      log10(d(laginterp(2,mf.Bx),x))
-0.12000000000000004      0                        0                        -7.770843568990103+1.3643763538418412i            -6.441904350116419+1.3643763538418412i
-0.10000000000000003      0                        0                        -6.974402372707197+1.3643763538418412i            -5.067999047970089+1.3643763538418412i
-0.2                      0                        0                        -19.418317157501995+1.3643763538418412i           -8.981274521788826
-0.18000000000000002      0                        0                        -10.464796696286767+1.3643763538418412i           -8.349367813414808+1.3643763538418412i
0.10000000000000003       0                        0                        -2.610392011423002+1.3643763538418412i            -0.3854210005571071
0.11999999999999994       0                        0                        -3.9777901859459277+1.3643763538418412i           -0.7520917305913761+1.3643763538418412i
0.18                      0                        0                        -8.013403467451198+1.3643763538418412i            -5.820477320063704
0.2                       0                        0                        -17.245348110517035+1.3643763538418412i           -6.26576849338952+1.3643763538418412i
-0.14000000000000004      0                        0                        -8.533562908357402+1.3643763538418412i            -6.956526076015437+1.3643763538418412i
-0.16000000000000003      0                        0                        -9.351443020050565+1.3643763538418412i            -7.400657587967118+1.3643763538418412i
0.13999999999999996       0                        0                        -5.195099843075207+1.3643763538418412i            -2.036620851451377+1.3643763538418412i
0.15999999999999998       0                        0                        -6.497221247623512+1.3643763538418412i            -4.279546352747136
0.08999999999999997       0                        0                        -3.1864285858965045+1.3643763538418412i           -1.9046679959899169
0.015945983011719067      0                        0                        -8.699184183805249+1.3643763538418412i            -7.116420685989224+1.3643763538418412i
0.01599999999999996       0                        0                        -8.69844622260646+1.3643763538418412i             -7.121486411560431+1.3643763538418412i
0.015761948376585566      0                        0                        -8.701987320462607+1.3643763538418412i            -7.114864990277116+1.3643763538418412i
0.015943442946938113      0                        0                        -8.69874820149119+1.3643763538418412i             -7.0976636757380875+1.3643763538418412i
0.01594472181115361       0                        0                        -8.6987260357535+1.3643763538418412i              -7.097663675738087+1.3643763538418412i
0.014999999999999986      0                        0                        -8.714968271100615+1.3643763538418412i            -7.102306902228144+1.3643763538418412i
0.015945306466406933      0                        0                        -8.698706008437746+1.3643763538418412i            -7.106050635546777+1.3643763538418412i
-0.01590230662076081      0                        0                        -8.897783477293128                                -7.025622912128493+1.3643763538418412i
-0.015845303742516775     0                        0                        -8.89963174752512                                 -7.025622912128496+1.3643763538418412i
-0.015814020354024072     0                        0                        -8.900649437931552                                -7.025622912128492+1.3643763538418412i
-0.016000000000000042     0                        0                        -8.89406289980036                                 -7.025555586766055+1.3643763538418412i
-0.015979943516499395     0                        0                        -8.895022580231533                                -7.031081454531932+1.3643763538418412i
-0.015000000000000041     0                        0                        -8.926545727403678                                -7.007871036588448+1.3643763538418412i
0.026000000000000023      0                        0                        -8.588324928155286+1.3643763538418412i            -7.388808034005254+1.3643763538418412i
0.02606044082392525       0                        0                        -8.587909568906564+1.3643763538418412i            -7.388808034005242+1.3643763538418412i
0.026097462384235243      0                        0                        -8.587640316850777+1.3643763538418412i            -7.3932435693721175+1.3643763538418412i
0.028304153600578225      0                        0                        -8.573104769399883+1.3643763538418412i            -7.445436704169145+1.3643763538418412i
0.02841822936786148       0                        0                        -8.572250373020795+1.3643763538418412i            -7.456107787623535+1.3643763538418412i
0.026595616804039823      0                        0                        -8.583944426780045+1.3643763538418412i            -7.413448144787176+1.3643763538418412i
0.026524182117123207      0                        0                        -8.583811941996716+1.3643763538418412i            -7.423299467797169+1.3643763538418412i
0.030223295413513263      0                        0                        -8.564208464766493+1.3643763538418412i            -7.5412381956837375+1.3643763538418412i
0.031008524039642937      0                        0                        -8.560632169470887+1.3643763538418412i            -7.626294188481766+1.3643763538418412i
0.029568845332963167      0                        0                        -8.566654740381445+1.3643763538418412i            -7.588304318510745+1.3643763538418412i
0.029427117292928434      0                        0                        -8.567240721296978+1.3643763538418412i            -7.58830431851072+1.3643763538418412i
0.02851281209809614       0                        0                        -8.572217323184399+1.3643763538418412i            -7.4972671436061935+1.3643763538418412i
0.02857003664197086       0                        0                        -8.571922087258107+1.3643763538418412i            -7.497267143606195+1.3643763538418412i
0.03597359518541671       0                        0                        -8.540886956348615+1.3643763538418412i            -7.72197851988806+1.3643763538418412i
