% Model:              GRACE_shield_open_thickness_2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 10 2021, 09:37
% Dimension:          3
% Nodes:              222
% Expressions:        2
% Description:        Magnetic Field, Magnetic Field Gradient
% Length unit:        m
% x                       y                        z                        log10(mf.Bx)                                      log10(d(laginterp(2,mf.Bx),x))
-0.2                      0                        0                        -19.528529789012232+1.3643763538418412i           -8.982593091761183
-0.18000000000000002      0                        0                        -10.467392449396645+1.3643763538418412i           -8.351665140899325+1.3643763538418412i
-0.12000000000000004      0                        0                        -7.784234008136562+1.3643763538418412i            -6.50823041992153+1.3643763538418412i
-0.10000000000000003      0                        0                        -6.98944464934834+1.3643763538418412i             -5.08132780419556+1.3643763538418412i
0.18                      0                        0                        -8.035639710806695+1.3643763538418412i            -5.842536841735218
0.2                       0                        0                        -18.847365121530878+1.3643763538418412i           -6.287512218066853+1.3643763538418412i
0.10000000000000003       0                        0                        -2.568704063944668+1.3643763538418412i            -0.34329626020257814
0.11999999999999994       0                        0                        -3.934649813356706+1.3643763538418412i            -0.7093020266326852+1.3643763538418412i
-0.16000000000000003      0                        0                        -9.358736110959624+1.3643763538418412i            -7.409137207270673+1.3643763538418412i
-0.14000000000000004      0                        0                        -8.543510966435706+1.3643763538418412i            -6.962927103360673+1.3643763538418412i
0.15999999999999998       0                        0                        -6.52353250018838+1.3643763538418412i             -4.305563792606613
0.13999999999999996       0                        0                        -5.216595830874681+1.3643763538418412i            -2.060741335032547+1.3643763538418412i
0.08999999999999997       0                        0                        -3.227246928999557+1.3643763538418412i            -1.6363761639103622
-0.043408940540525076     0                        0                        -6.686223201122575+1.3643763538418412i            -6.166667160542211+1.3643763538418412i
-0.04327281074268677      0                        0                        -6.685931052046909+1.3643763538418412i            -6.209261350892574+1.3643763538418412i
-0.04219796836882364      0                        0                        -6.684391813045295+1.3643763538418412i            -6.314456670519687+1.3643763538418412i
-0.0407052645995373       0                        0                        -6.682885175351689+1.3643763538418412i            -6.4748322236132+1.3643763538418412i
-0.04000616421634445      0                        0                        -6.682395247852795+1.3643763538418412i            -6.474832223612859+1.3643763538418412i
-0.04099683610884727      0                        0                        -6.683170858025674+1.3643763538418412i            -6.314456670519664+1.3643763538418412i
-0.045503110698260796     0                        0                        -6.690204970015898+1.3643763538418412i            -6.047275533389869+1.3643763538418412i
-0.04690858021897201      0                        0                        -6.693400946203039+1.3643763538418412i            -6.0018627842115055+1.3643763538418412i
-0.04708087023151944      0                        0                        -6.6937688773281465+1.3643763538418412i           -6.001862784211508+1.3643763538418412i
-0.047222990704216816     0                        0                        -6.694245751230379+1.3643763538418412i            -5.920214298247327+1.3643763538418412i
-0.04821447422970762      0                        0                        -6.696912610903965+1.3643763538418412i            -5.8257051284735315+1.3643763538418412i
-0.04771225122311348      0                        0                        -6.695717219003817+1.3643763538418412i            -5.883219534940397+1.3643763538418412i
-0.03994263208102675      0                        0                        -6.682293203753959+1.3643763538418412i            -6.6093148466678135+1.3643763538418412i
-0.03946388977642318      0                        0                        -6.68203066516827+1.3643763538418412i             -6.966115904935965+1.3643763538418412i
-0.038000000000000006     0                        0                        -6.681717967714243+1.3643763538418412i            -3.9803047833103182
-0.08385462908490104      0                        0                        -6.882416092849104+1.3643763538418412i            -5.742164464843866+1.3643763538418412i
-0.08226033628628285      0                        0                        -6.871726211277005+1.3643763538418412i            -5.705902959127527+1.3643763538418412i
-0.08184463681164225      0                        0                        -6.868723550473539+1.3643763538418412i            -5.694703989225289+1.3643763538418412i
-0.07292816114487718      0                        0                        -6.816298120352184+1.3643763538418412i            -5.687164518284504+1.3643763538418412i
-0.06980880233918815      0                        0                        -6.798525318761762+1.3643763538418412i            -5.665072335350695+1.3643763538418412i
-0.06513793776336144      0                        0                        -6.77199697423913+1.3643763538418412i             -5.669522001168046+1.3643763538418412i
-0.06343259285588959      0                        0                        -6.763047209985144+1.3643763538418412i            -5.672887962329704+1.3643763538418412i
-0.0600406868276461       0                        0                        -6.745324970593388+1.3643763538418412i            -5.686298316303086+1.3643763538418412i
-0.06533398457339556      0                        0                        -6.7728731875713+1.3643763538418412i              -5.665072335350695+1.3643763538418412i
-0.05125749341882088      0                        0                        -6.706886118016074+1.3643763538418412i            -5.75749526626323+1.3643763538418412i
-0.055849510016993426     0                        0                        -6.725644148000079+1.3643763538418412i            -5.733868509353462+1.3643763538418412i
-0.058636143446810646     0                        0                        -6.738366488151016+1.3643763538418412i            -5.706044964165607+1.3643763538418412i
-0.05738343320977876      0                        0                        -6.732544887508034+1.3643763538418412i            -5.706044964165612+1.3643763538418412i
-0.05914963052971636      0                        0                        -6.740914256713541+1.3643763538418412i            -5.6862983163030885+1.3643763538418412i
-0.033687457143581845     0                        0                        -8.904194703981616                                -7.808121474689732+1.3643763538418412i
